uga_close,uga_volume,uga_difference,us_price,shell_close,shell_volume,shell_difference,uk_price
30.51,147400.0,5.8341494591936955,2.429,2267.5,17476669.0,1.746421080485111,117.000035
30.280001,262900.0,5.151915285603851,2.437,2281.5,22334907.0,2.9918917378917365,117.97843300000001
29.43,132000.0,7.883109072375125,2.407,2223.0,22697715.0,4.565901934322987,118.63427200000001
28.549999,179400.0,4.833628890845145,2.368,2191.0,22955827.0,1.9169329073482428,119.429013
28.77,257200.0,4.101487660757738,2.337,2193.0,31713544.0,3.5339717282261742,120.01122400000001
29.34,210700.0,8.214038854805723,2.333,2166.5,25388563.0,4.708054465728133,120.17708
28.15,163100.0,4.440497335701599,2.34,2095.0,34180162.0,5.394225918854407,120.151674
28.0,149600.0,3.392853571428578,2.336,2073.0,30117397.0,2.773757838880849,120.19892399999999
26.700001,235500.0,7.4157263140177525,2.346,2137.5,39057308.0,3.8830409356725144,120.121737
25.799999,182400.0,7.015504147887752,2.375,2113.5,29033315.0,5.512183581736456,120.019535
25.83,157300.0,2.9036004645760745,2.353,2123.0,31011839.0,2.967498822421102,119.802836
25.9,87200.0,3.2046332046331982,2.35,2083.0,21795883.0,3.5899689390302547,118.946847
27.280001,117100.0,6.268331881659396,2.341,2096.0,26864421.0,4.104008587786256,118.02808513900001
27.85,110100.0,3.303411131059252,2.393,2145.5,20035941.0,3.3558611046376132,116.92654499999999
27.709999,102600.0,2.4179033712704183,2.463,2106.5,15711112.0,2.883698884405409,117.02166
26.209999,182800.0,6.447924702324478,2.468,1992.5,28749163.0,6.223337515683814,117.53871200000002
24.610001,241300.0,6.095083051804833,2.484,2002.5,25824256.0,2.9227016229712754,118.14752200000001
24.09,274700.0,7.015350767953504,2.444,2067.5,23710360.0,4.474002418379685,118.081905
25.17,215700.0,5.7608303535955505,2.401,2145.0,25733932.0,3.8461538461538463,117.058045
26.26,195200.0,4.15079969535415,2.396,2118.0,32064338.0,4.348965250236078,115.60102599999998
25.959999,305400.0,4.62249632598215,2.418,2118.0,26654441.0,1.9121813031161474,115.67225499999999
25.200001,184600.0,4.523805376039467,2.418,2087.0,27019254.0,2.0364159080019166,115.79469332000001
24.040001,307300.0,4.450914956284722,2.437,2106.5,29330414.0,2.9195347733206742,115.820833949
23.200001,220800.0,5.862073023186509,2.389,2115.0,41277865.0,4.25531914893617,115.69343849
22.799999,192700.0,5.13157917243769,2.339,2066.5,5604945.0,6.024679409629809,115.11818199999999
24.25,167000.0,7.546391752577327,2.316,2035.0,2389102.0,3.267813267813268,114.42645200000001
24.02,130200.0,4.496253122397994,2.278,2044.0,26356093.0,2.959882583170254,113.74064700000001
24.99,98400.0,4.5618207282913295,2.324,2050.0,29831379.0,3.0344893170731666,113.577129
25.01,334400.0,4.598160735705712,2.303,2079.0,24787275.0,3.5594035594035596,113.88767
26.870001,204300.0,7.219951350206495,2.34,2115.5,46303511.0,3.8997872843299453,113.993246
26.82,140600.0,3.16927665920955,2.386,2183.0,27606168.0,4.737424141090247,114.16122700000001
26.35,98900.0,2.9221935483871007,2.405,2135.0,30762359.0,5.318263325526934,114.78238599999999
26.620001,93400.0,5.747558010985805,2.416,2114.5,28173998.0,2.2700401986285175,115.525835
26.83,450700.0,6.0380208721580395,2.389,2142.5,27170367.0,2.3803967327887983,116.04348000000002
30.27,2879200.0,12.586719524281461,2.438,2122.0,19397506.0,2.1150838831291168,116.40229699999998
28.620001,749400.0,4.227816064716414,2.722,2138.0,27546978.0,2.543264733395697,116.951427
28.799999,552400.0,4.479163349970943,2.728,2102.5,32935463.0,3.8287752675386444,118.14317700000001
28.950001,420500.0,2.279792667364675,2.678,2190.0,30571620.0,5.798038858447482,118.852492
28.15,286600.0,5.932504440497329,2.629,2248.5,34467527.0,4.047142539470759,118.86908100000001
27.719999,141500.0,5.627709438229055,2.614,2297.5,27170309.0,3.008970794341678,118.13314399999999
28.84,100800.0,4.6810020804438235,2.547,2285.5,22634509.0,2.049221658280465,117.161768
29.65,318300.0,3.912310286677909,2.532,2313.5,20083725.0,1.837043440674303,117.00831112
30.93,186200.0,5.07598448108632,2.523,2327.0,24624185.0,2.019767941555651,117.044503789
32.240002,168800.0,5.8002415756673935,2.526,2435.0,39929358.0,5.441478439425051,117.05967799999999
32.939999,177700.0,2.76259874810562,2.583,2418.0,32489818.0,4.366088544251445,117.574798
31.42,155600.0,5.919789942711662,2.619,2337.5,29388321.0,6.9555481069518645,118.91045799999999
32.169998,115800.0,3.8856017336401387,2.597,2337.5,27528471.0,1.2620320855614975,119.67124500000001
31.299999,115300.0,4.313092789555678,2.562,2364.0,45952112.0,4.801184433164129,120.12802599999999
30.950001,123100.0,4.3295636727119975,2.528,2357.5,27998985.0,2.9268292682926833,119.754926
29.870001,183600.0,9.039166085063064,2.519,2428.5,44898479.0,3.057442865966646,119.905991
31.309999,167900.0,4.790801813823117,2.478,2452.5,17129674.0,2.5891946992864425,119.97797800000001
31.85,145100.0,3.3281004709576094,2.502,2480.0,7155882.0,1.1491935483870968,120.004005
31.93,90200.0,2.505483870967747,2.554,2530.0,16823285.0,3.458498023715415,120.185446
32.919998,144700.0,4.040097450795719,2.548,2573.5,23535271.0,2.2925976296871964,120.52207200000001
33.110001,144200.0,2.9296314427776777,2.589,2517.0,25135799.0,3.098927294398093,120.96234400000002
34.139999,137200.0,3.7492766183150756,2.601,2510.0,22550986.0,1.4342629482071714,121.49825800000002
33.27,108800.0,4.177935076645635,2.634,2395.5,36775103.0,7.931538300981006,121.69471300000001
